,sample_id,severity,snippet
10,9036731.txt,major,"	@Override
	public TypeBinding substitute(TypeVariableBinding typeVariable) {
		ReferenceBinding superclass = typeVariable.superclass;
		ReferenceBinding[] superInterfaces = typeVariable.superInterfaces;
		boolean hasSubstituted = false;
		variableLoop: for (int i = 0; i < this.variables.length; i++) {
			InferenceVariable variable = this.variables[i];
			TypeBinding pi = getP(i);
			if (TypeBinding.equalsEquals(pi, typeVariable))
				return variable;
			if (TypeBinding.equalsEquals(pi, superclass)) {
				superclass = variable;
				hasSubstituted = true;
				continue;
			}
			if (superInterfaces != null) {
				int ifcLen = superInterfaces.length; 
				for (int j = 0; j < ifcLen; j++) {
					if (TypeBinding.equalsEquals(pi, superInterfaces[j])) {
						if (superInterfaces == typeVariable.superInterfaces)
							System.arraycopy(superInterfaces, 0, superInterfaces = new ReferenceBinding[ifcLen], 0, ifcLen);
						superInterfaces[j] = variable;
						hasSubstituted = true;
						continue variableLoop;
					}
				}
			}
		}
		if (hasSubstituted) {
			typeVariable = new TypeVariableBinding(typeVariable.sourceName, typeVariable.declaringElement, typeVariable.rank, this.environment);
			typeVariable.superclass = superclass;
			typeVariable.superInterfaces = superInterfaces;
			typeVariable.firstBound = superclass != null ? superclass : superInterfaces[0];
			if (typeVariable.firstBound.hasNullTypeAnnotations())
				typeVariable.tagBits |= TagBits.HasNullTypeAnnotation;
		}
		return typeVariable;
	}"
11,6537106.txt,none,"    @Override
    public boolean supportsSensorType(SensorEnum sensorType) {
        if (sensorType != null) {
            return getSensorTypes().contains(sensorType);
        }
        return false;
    }"
12,8644476.txt,none,"    ZkDiscoveryNodeJoinEventData(
        long evtId,
        long topVer,
        List<ZkJoinedNodeEvtData> joinedNodes,
        int dataForJoinedPartCnt)
    {
        super(evtId, ZK_EVT_NODE_JOIN, topVer);

        this.joinedNodes = joinedNodes;
        this.dataForJoinedPartCnt = dataForJoinedPartCnt;
    }"
13,6009570.txt,none,"    public JedisPool(final GenericObjectPoolConfig poolConfig, final String host, final int port) {
        this(poolConfig, host, port, Protocol.DEFAULT_TIMEOUT, null);
    }"
14,3818939.txt,none,"   public InMemoryDirectoryServiceFactory() {
      try {
         directoryService = new DefaultDirectoryService();
      } catch (Exception e) {
         throw new RuntimeException(e);
      }
      directoryService.setShutdownHookEnabled(false);
      partitionFactory = new AvlPartitionFactory();
   }"
15,5775855.txt,none,"    @Override
    public List<PlainSchema> findByKeyword(final String keyword) {
        TypedQuery<PlainSchema> query = entityManager().createQuery(
                ""SELECT e FROM "" + JPAPlainSchema.class.getSimpleName() + "" e""
                + "" WHERE e.id LIKE :keyword"", PlainSchema.class);
        query.setParameter(""keyword"", keyword);
        return query.getResultList();
    }"
16,8631904.txt,none,"    private BPlusTree.TreeRowClosure<H2Row, H2Row> filter(QueryContext qctx) {
        if (qctx == null) {
            assert !cctx.mvccEnabled();

            return null;
        }

        IndexingQueryFilter f = qctx.filter();
        IndexingQueryCacheFilter p = f == null ? null : f.forCache(getTable().cacheName());
        MvccSnapshot v = qctx.mvccSnapshot();

        assert !cctx.mvccEnabled() || v != null;

        if(p == null && v == null)
            return null;

        return new H2TreeFilterClosure(p, v, cctx, log);
    }"
17,6589858.txt,none,"    protected void inputChanged(Object newInput, Object newSelection) {
        fFilterText.setText(""""); //$NON-NLS-1$
        fTableViewer.setInput(newInput);
		selectFirstMatch();

        // Resize the table's height accordingly to the new input
        Table viewerTable = fTableViewer.getTable();
        Point tableSize = viewerTable.computeSize(SWT.DEFAULT, SWT.DEFAULT);
        int tableMaxHeight = fComposite.getDisplay().getBounds().height / 2;
        // removes padding if necessary
        int tableHeight = (tableSize.y <= tableMaxHeight) ? tableSize.y
                - viewerTable.getItemHeight() - viewerTable.getItemHeight() / 2
                : tableMaxHeight;
        ((GridData) viewerTable.getLayoutData()).heightHint = tableHeight;
        Point fCompSize = fComposite.computeSize(SWT.DEFAULT, SWT.DEFAULT);
        fComposite.setSize(fCompSize);
        fComposite.getShell().setSize(fCompSize);
    }"
18,4242529.txt,none,"    @Override
    public void interpretPixel(final ImageBuilder imageBuilder, final int[] samples, final int x,
            final int y) throws ImageReadException, IOException {

        final int sc = samples[0];
        final int sm = samples[1];
        final int sy = samples[2];
        final int sk = samples[3];

        final int rgb = ColorConversions.convertCMYKtoRGB(sc, sm, sy, sk);
        imageBuilder.setRGB(x, y, rgb);
    }"
19,5445165.txt,none,"    CompletableFuture<MessageId> getLastMessageIdAsync() {
        if (getState() == State.Closing || getState() == State.Closed) {
            return FutureUtil
                .failedFuture(new PulsarClientException.AlreadyClosedException(""Consumer was already closed""));
        }

        AtomicLong opTimeoutMs = new AtomicLong(client.getConfiguration().getOperationTimeoutMs());
        Backoff backoff = new Backoff(100, TimeUnit.MILLISECONDS,
            opTimeoutMs.get() * 2, TimeUnit.MILLISECONDS,
            0 , TimeUnit.MILLISECONDS);
        CompletableFuture<MessageId> getLastMessageIdFuture = new CompletableFuture<>();

        internalGetLastMessageIdAsync(backoff, opTimeoutMs, getLastMessageIdFuture);
        return getLastMessageIdFuture;
    }"
20,9000671.txt,minor,"  OrdsSegmentTermsEnumFrame pushFrame(FST.Arc<Output> arc, long fp, int length, long termOrd) throws IOException {
    final OrdsSegmentTermsEnumFrame f = getFrame(1+currentFrame.ord);
    f.arc = arc;
    // System.out.println(""pushFrame termOrd= "" + termOrd + "" fpOrig="" + f.fpOrig + "" fp="" + fp + "" nextEnt="" + f.nextEnt);
    if (f.fpOrig == fp && f.nextEnt != -1) {
      //if (DEBUG) System.out.println(""      push reused frame ord="" + f.ord + "" fp="" + f.fp + "" isFloor?="" + f.isFloor + "" hasTerms="" + f.hasTerms + "" pref="" + term + "" nextEnt="" + f.nextEnt + "" targetBeforeCurrentLength="" + targetBeforeCurrentLength + "" term.length="" + term.length + "" vs prefix="" + f.prefix);
      if (f.prefix > targetBeforeCurrentLength) {
        // System.out.println(""        do rewind!"");
        f.rewind();
      } else {
        // if (DEBUG) {
        // System.out.println(""        skip rewind!"");
        // }
      }
      assert length == f.prefix;
      assert termOrd == f.termOrdOrig;
    } else {
      f.nextEnt = -1;
      f.prefix = length;
      f.state.termBlockOrd = 0;
      f.termOrdOrig = termOrd;
      // System.out.println(""set termOrdOrig="" + termOrd);
      f.termOrd = termOrd;
      f.fpOrig = f.fp = fp;
      f.lastSubFP = -1;
      // if (DEBUG) {
      //   final int sav = term.length;
      //   term.length = length;
      //   System.out.println(""      push new frame ord="" + f.ord + "" fp="" + f.fp + "" hasTerms="" + f.hasTerms + "" isFloor="" + f.isFloor + "" pref="" + brToString(term));
      //   term.length = sav;
      // }
    }

    return f;
  }"
21,8404033.txt,none,"    public void setHeight(Integer height) {
        this.height = height;
    }"
22,8766133.txt,none,"  @SuppressWarnings(""unchecked"")
  private static Class<? extends Principal> getOsPrincipalClass() {
    ClassLoader cl = ClassLoader.getSystemClassLoader();
    try {
      String principalClass = null;
      if (IBM_JAVA) {
        if (is64Bit) {
          principalClass = ""com.ibm.security.auth.UsernamePrincipal"";
        } else {
          if (windows) {
            principalClass = ""com.ibm.security.auth.NTUserPrincipal"";
          } else if (aix) {
            principalClass = ""com.ibm.security.auth.AIXPrincipal"";
          } else {
            principalClass = ""com.ibm.security.auth.LinuxPrincipal"";
          }
        }
      } else {
        principalClass = windows ? ""com.sun.security.auth.NTUserPrincipal""
            : ""com.sun.security.auth.UnixPrincipal"";
      }
      return (Class<? extends Principal>) cl.loadClass(principalClass);
    } catch (ClassNotFoundException e) {
      LOG.error(""Unable to find JAAS classes:"" + e.getMessage());
    }
    return null;
  }"
23,6209901.txt,none,"        @Override
        public void onNodeSelected(TreeNodeElement<D> node, SignalEvent event) {
          getSelectionModel().setTreeActive(true);
          selectNode(node.getData(), event, true);
        }"
24,6431594.txt,none,"    @Override
    public Integer getOkResponse() {
        Optional<Integer> propertyValue = getProperty(DialogConditionType.OK_RESPONSE);
        return propertyValue.orElse(null);
    }"
25,8118314.txt,none,"	@Override
	public void configure(Binder binder) {
		properties = tryBindProperties(binder, ""org/eclipse/xtext/grammarinheritance/BaseInheritanceTestLanguage.properties"");
		super.configure(binder);
	}"
26,3857363.txt,none,"    public void setTmfeIsSet(boolean value) {
      if (!value) {
        this.tmfe = null;
      }
    }"
27,8949635.txt,none,"  public void setWmCountersDone() {
    if (wmCounters != null) {
      wmCounters.changeStateDone();
    }
  }"
28,4471454.txt,none,"    @Override
    public void write(byte[] b) throws IOException {
      count += b.length;
      out.write(b);
    }"
29,9192024.txt,none,"	public void removeModifyListener( ModifyListener listener )
	{
		checkWidget( );
		if ( listener == null )
			SWT.error( SWT.ERROR_NULL_ARGUMENT );
		removeListener( SWT.Modify, listener );
	}"
30,5186909.txt,none,"  public static String getMessageHash(JSONObject message, Collection<String> hashFields) {
    List<String> hashElements = hashFields.stream().map(errorField ->
            String.format(""%s-%s"", errorField, message.get(errorField))).collect(Collectors.toList());
    return DigestUtils.sha256Hex(String.join(""|"", hashElements).getBytes(UTF_8));
  }"
31,7883291.txt,none,"  @Override
  public void clear() {
    this.path = null;
  }"
32,7540312.txt,none,"	public String run() throws Exception {
		Method m = Class.class.getMethod(""getDeclaredMethods"");
		Method[] m2 = (Method[]) m.invoke(JLCGetDecMethods.class);
		//		Method m2 = (Method) m.invoke(JLCGetDecMethod.class, ""foo"", new Class[] { String.class, Integer.TYPE });
		return format(m2);
	}"
33,9503296.txt,none,"  public synchronized void removePipeline(Pipeline pipeline) {
    for (DatanodeDetails details : pipeline.getNodes()) {
      UUID dnId = details.getUuid();
      dn2ObjectMap.computeIfPresent(dnId,
          (k, v) -> {
            v.remove(pipeline.getId());
            return v;
          });
    }
  }"
34,3981428.txt,none,"    public ConstraintModel( Annotation annotation, Class<? extends Constraint<?, ?>> constraintClass )
    {
        super( annotation );
        this.constraintClass = constraintClass;
    }"
35,6746974.txt,none,"  public Object getFieldMostRecentImportStatus() {
    return mMostRecentImportStatus;
  }"
36,4671530.txt,none,"		@Nonnull
		@Override
		public TypeSerializerSchemaCompatibility<T> setPreviousSerializerSnapshotForRestoredState(
				TypeSerializerSnapshot<T> previousSerializerSnapshot) {
			throw new UnsupportedOperationException(""The snapshot of the state's previous serializer has already been set; cannot reset."");
		}"
37,7416098.txt,none,"	private void destroyBeanFactoryLocator() {
		Optional.ofNullable(getBeanFactoryLocator()).ifPresent(GemfireBeanFactoryLocator::destroy);
		this.beanFactoryLocator = null;
	}"
38,5361443.txt,none,"    @SuppressWarnings(""unchecked"")
    public <T extends Enum<T>> T get(final String property, final T defaultValue) {
        final String value = properties.getProperty(property);

        if (value == null || value.equals(""""))
            return parent.get(property, defaultValue);

        if (defaultValue == null)
            throw new IllegalArgumentException(""Must supply a default for property "" + property);

        final Class<T> enumType = (Class<T>) defaultValue.getClass();

        try {
            return log(property, valueOf(enumType, value.toUpperCase()));
        } catch (IllegalArgumentException e) {
            warn(property, value);
            return parent.get(property, defaultValue);
        }
    }"
39,6207748.txt,none,"    public final void mT__122() throws RecognitionException {
        try {
            int _type = T__122;
            int _channel = DEFAULT_TOKEN_CHANNEL;
            // InternalMetaData.g:120:8: ( '|' )
            // InternalMetaData.g:120:10: '|'
            {
            match('|'); 

            }

            state.type = _type;
            state.channel = _channel;
        }
        finally {
        }
    }"
40,8243636.txt,none,"    public Call(ParsingContext parsingContext, StartElement raw, Attributes attrs, Stack stack)
            throws SAXException {
        super(raw);
        this.parameters = new HashMap();
        Locator locator = getLocation();

        String name = attrs.getValue(""macro"");
        if (name == null) {
            throw new SAXParseException(""if: \""test\"" is required"", locator,
                    null);
        }
        this.macro = parsingContext.getStringTemplateParser().compileExpr(name, ""call: \""macro\"": "",
                locator);

        String namespace = StringUtils.defaultString(attrs
                .getValue(""targetNamespace""));
        this.targetNamespace = parsingContext.getStringTemplateParser().compileExpr(namespace,
                ""call: \""targetNamespace\"": "", locator);
    }"
41,4298894.txt,none,"    private LdapConnectionProvider()
    {
        init();
    }"
42,3986717.txt,major,"    @SuppressWarnings( ""raw"" )
    private static void simpleGenericNameOf( StringBuilder sb, Type type )
    {
        if( type instanceof Class )
        {
            sb.append( ( (Class) type ).getSimpleName() );
        }
        else if( type instanceof ParameterizedType )
        {
            ParameterizedType pt = (ParameterizedType) type;
            simpleGenericNameOf( sb, pt.getRawType() );
            sb.append( ""<"" );
            boolean atLeastOne = false;
            for( Type typeArgument : pt.getActualTypeArguments() )
            {
                if( atLeastOne )
                {
                    sb.append( "", "" );
                }
                simpleGenericNameOf( sb, typeArgument );
                atLeastOne = true;
            }
            sb.append( "">"" );
        }
        else if( type instanceof GenericArrayType )
        {
            GenericArrayType gat = (GenericArrayType) type;
            simpleGenericNameOf( sb, gat.getGenericComponentType() );
            sb.append( ""[]"" );
        }
        else if( type instanceof TypeVariable )
        {
            TypeVariable tv = (TypeVariable) type;
            sb.append( tv.getName() );
        }
        else if( type instanceof WildcardType )
        {
            WildcardType wt = (WildcardType) type;
            sb.append( ""? extends "" );
            boolean atLeastOne = false;
            for( Type typeArgument : wt.getUpperBounds() )
            {
                if( atLeastOne )
                {
                    sb.append( "", "" );
                }
                simpleGenericNameOf( sb, typeArgument );
                atLeastOne = true;
            }
        }
        else
        {
            throw new IllegalArgumentException( ""Don't know how to deal with type:"" + type );
        }
    }"
43,8976668.txt,none,"  @Override
  protected void securityConfEdited() {
    // Need to call explicitly since we will not get notified of changes to local security.json
    cores.securityNodeChanged();
  }"
44,7763232.txt,none,"  public StorageAdapter getAdapter()
  {
    return adapter;
  }"
45,7074773.txt,none,"  public static void main(String[] args) throws Exception {
    new DegradedExperienceExample().runExample();
  }"
46,4435454.txt,none,"    @Override
    public FSDataInputStream open(Path f, int bufferSize) throws IOException {
        return localFS.open(toLocalPath(f), bufferSize);
    }"
47,7875037.txt,minor,"  private static void doRawReceiveFile(File path, int size, InputStream clientInput)
      throws IOException {
    // Create a temp file to receive the payload, so we don't need to worry about
    // partially-received files.  The host takes care of deleting temp files.
    File tempfile =
        File.createTempFile(
            AgentUtil.TEMP_PREFIX + path.getName() + ""-"", "".tmp"", path.getParentFile());
    FileOutputStream output = new FileOutputStream(tempfile);

    // Keep track of our starting time so we can enforce a timeout on slow but steady uploads.
    long receiveStartMs = TimeUnit.NANOSECONDS.toMillis(System.nanoTime());
    // Keep track of the total received size to verify the payload.
    long totalSize = 0;
    long totalReceiveTimeoutMs =
        RECEIVE_TIMEOUT_MS + TOTAL_RECEIVE_TIMEOUT_MS_PER_MB * (size / 1024 / 1024);
    try {
      int bufferSize = 128 * 1024;
      byte[] buf = new byte[bufferSize];
      while (true) {
        long currentTimeMs = TimeUnit.NANOSECONDS.toMillis(System.nanoTime());
        if (currentTimeMs - receiveStartMs > totalReceiveTimeoutMs) {
          throw new RuntimeException(""Receive failed to complete before timeout."");
        }
        int remaining = size - (int) totalSize;
        if (remaining == 0) {
          break;
        }
        int want = bufferSize;
        if (want > remaining) {
          want = remaining;
        }
        int got = clientInput.read(buf, 0, want);
        if (got == -1) {
          break;
        }
        output.write(buf, 0, got);
        totalSize += got;
      }
    } finally {
      output.close();
    }
    if (totalSize != size) {
      throw new RuntimeException(""Received only "" + totalSize + "" of "" + size + "" bytes."");
    }
    boolean success = tempfile.renameTo(path);
    if (!success) {
      throw new RuntimeException(""Failed to rename temp file."");
    }
  }"
48,8725125.txt,none,"void createItem (TaskItem item, int index) {
	if (index == -1) index = itemCount;
	if (!(0 <= index && index <= itemCount)) error (SWT.ERROR_INVALID_RANGE);
	if (itemCount == items.length) {
		TaskItem [] newItems = new TaskItem [items.length + 4];
		System.arraycopy (items, 0, newItems, 0, items.length);
		items = newItems;
	}
	System.arraycopy (items, index, items, index + 1, itemCount++ - index);
	items [index] = item;
}"
49,6839392.txt,none,"	public void markAsToHoist(FunctionDeclaration element) {
		tag(Tag.toHoist, element);
	}"
50,6923170.txt,none,"    @Override
    public State computeBreaks(CommentsHelper commentsHelper, int maxWidth, State state) {
      text = commentsHelper.rewrite(tok, maxWidth, state.column);
      int firstLineLength = text.length() - Iterators.getLast(Newlines.lineOffsetIterator(text));
      return state.withColumn(state.column + firstLineLength);
    }"
51,8916223.txt,none,"    @Override
    public int hashCode() {
      List<Object> list = new ArrayList<Object>();

      boolean present_o1 = true && (isSetO1());
      list.add(present_o1);
      if (present_o1)
        list.add(o1);

      boolean present_o2 = true && (isSetO2());
      list.add(present_o2);
      if (present_o2)
        list.add(o2);

      return list.hashCode();
    }"
52,8501404.txt,none,"    @Override
    public boolean start() {
        return true;
    }"
53,8039539.txt,none,"	public ParserRule getCollectionTypeIdentifierRule() {
		return getCollectionTypeIdentifierAccess().getRule();
	}"
54,5423009.txt,none,"    private ClearCacheResponse(
        com.google.protobuf.CodedInputStream input,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws com.google.protobuf.InvalidProtocolBufferException {
      initFields();
      int mutable_bitField0_ = 0;
      com.google.protobuf.UnknownFieldSet.Builder unknownFields =
          com.google.protobuf.UnknownFieldSet.newBuilder();
      try {
        boolean done = false;
        while (!done) {
          int tag = input.readTag();
          switch (tag) {
            case 0:
              done = true;
              break;
            default: {
              if (!parseUnknownField(input, unknownFields,
                                     extensionRegistry, tag)) {
                done = true;
              }
              break;
            }
            case 8: {
              bitField0_ |= 0x00000001;
              unfreedBytes_ = input.readInt64();
              break;
            }
          }
        }
      } catch (com.google.protobuf.InvalidProtocolBufferException e) {
        throw e.setUnfinishedMessage(this);
      } catch (java.io.IOException e) {
        throw new com.google.protobuf.InvalidProtocolBufferException(
            e.getMessage()).setUnfinishedMessage(this);
      } finally {
        this.unknownFields = unknownFields.build();
        makeExtensionsImmutable();
      }
    }"
55,7197234.txt,none,"        public Builder freeformTags(java.util.Map<String, String> freeformTags) {
            this.freeformTags = freeformTags;
            this.__explicitlySet__.add(""freeformTags"");
            return this;
        }"
56,8051310.txt,none,"	@Override
	protected InternalExBacktrackingBug325745TestLanguageParser createParser(XtextTokenStream stream) {
		return new InternalExBacktrackingBug325745TestLanguageParser(stream, getGrammarAccess());
	}"
57,4753103.txt,none,"  @Override
  public String convertSchema(String inputSchema, WorkUnitState workUnit)
      throws SchemaConversionException {
    return inputSchema;
  }"
58,3823798.txt,none,"   public TransactionDetail(Xid xid, Transaction tx, Long creation) {
      this.xid = xid;
      this.transaction = tx;
      this.creationTime = creation;
   }"
59,5176784.txt,none,"    @Override
    public Object apply(List<Object> args, Context context) throws ParseException {
      if(!initialized) {
        return null;
      }
      if(args.size() > 2) {
        throw new IllegalArgumentException(""GEO_GET received more arguments than expected: "" + args.size());
      }

      if(args.size() == 1 && args.get(0) instanceof String) {
        // If no fields are provided, return everything
        String ip = (String) args.get(0);
        if(ip == null || ip.trim().isEmpty()) {
          return null;
        }

        Optional<Map<String, String>> result = GeoLiteCityDatabase.INSTANCE.get(ip);
        return result.orElse(Collections.emptyMap());
      } else if (args.size() == 2 && args.get(1) instanceof List) {
        // If fields are provided, return just those fields.
        String ip = (String) args.get(0);
        @SuppressWarnings(""unchecked"")
        List<String> fields = (List) args.get(1);
        Optional<Map<String, String>> result = GeoLiteCityDatabase.INSTANCE.get(ip);

        // If only one field is requested, just return it directly
        if(fields.size() == 1 && result.isPresent()) {
          return result.get().get(fields.get(0));
        } else if (result.isPresent()) {
          // If multiple fields are requested, return all of them
          Map<String, String> filteredInfo = new HashMap<>();
          for(String field : fields) {
            Map<String, String> geoInfo = result.get();
            filteredInfo.put(field, geoInfo.get(field));
          }
          return filteredInfo;
        }
      }

      return null;
    }"
